image_id	id	caption
555197	447249	A person is going down the mountain on skis.
482275	383492	A man and woman cutting a slice of cake by trees.
542211	51975	A red fire hydrant between two trees in front of a building.
414008	193107	A brown and white dog runs on some brown grass near a Frisbee that is just sailing above the ground.
513098	267370	A group of planes flying in sequence in the sky.
174103	377323	A grouo of four snowboards out in front of a red colors building.
531816	211472	a little girl in pink holding onto a pink teddy bear
1761	117569	Two planes flying in the sky over a bridge.
92244	124125	A doll in a dress standing between two parking meters.
466561	748963	Young man batting during a sunny baseball game.
287484	40801	A messy bed in a bedroom between two tables with lamps.
422725	613181	A man standing on one leg on a tennis court.
68205	783390	A man riding a skateboard up the side of a ramp.
501005	503329	derek jeter swings his bat at a baseball
579003	605295	A shower stall with interesting tile is the focal point.
38678	415183	A woman in striped shirt holding a plate with a bagel on it.
431521	757343	A llama looks at the camera from a fenced in, grassy area.
558955	107553	A black and white soccer ball sits in the grass.
497568	541624	A commercial plane being serviced by two people.
289938	688028	A hot dog cart across from the Radio City Music Hall.
571835	459850	A grey tabby kitten inside a black suit case.
350974	265119	A couple sharing an umbrella on a rainy day.
415964	528359	A large red stop sign on a metal pole.
246442	814045	a women that is walking around with a umbrella
241317	609019	A man pushing a cart filled with lots of fresh fruit.
506052	182920	a small hand held television set being held by a hand
347612	711766	A red stop sign sitting next to a tree.
515682	465407	A glass field with a few chairs and vehicles in the distance, along with people standing in the field and one kite being flow in the air.
430583	332817	A rusty old red fire hydrant in the weeds.
55013	710678	two guys and two girls watching a computer
566155	318066	A bathroom area with a crate full of water and an in-floor urinal.
417085	213978	A big cow and a smaller cow standing beside a road.
87377	246997	pretty cat hiding inside of a brown suitcase
373029	157689	An aircraft is overtaken by maintenance workers as it sits on a landing.
472298	719561	a man and a woman sitting on a small boat
344762	118701	A building with a grey hound road sign on it
462755	719515	A group of people walking around a lush green field.
331807	179630	A cutting tray with some lemons and a knife.
542803	240713	The city bus in en route to Graham Street.
521943	177637	A small boy practicing hitting a baseball off of a ball stand
515421	510445	A woman with nice breast holding a book while sitting next to a dog.
196506	171461	A woman decorating a double layer cake on a table.
27642	578457	a bunch of motorcycles are parked on the street together
577522	811654	a bird stands on top of a laptop keyboard
130419	627474	A woman standing next to two bags of luggage.
187411	58671	A herd of sheep grazing on a pile of hay in a field.
214494	667724	Someone who is applying some chocolate on a cake.
298812	454546	A little girl holding an umbrella is standing on the sidewalk
118363	57366	A LIVING ROOM WITH FURNITURE, A FIREPLACE, AND A LARGE SCENIC WINDOW
153527	584941	A row of wooden benches sitting on the side of a road.
241319	321762	A bathroom sink with two toothbrushes facing each other.
354832	393891	Three photos of people throwing and catching Frisbees.
561491	261727	A woman holding up a pregnancy test near a plate of food.
397121	634973	A green heron perches on a stump in a swamp.
156232	516312	Two people in yellow vests and helmets riding horses.
567197	664064	an old black and white photo of cars parked near a building
413971	146324	Two plates filled with hot dogs sitting on a wooden counter next to drinks.
9175	740033	A woman holding a tiger kite with people standing around watching and talking.
293034	472572	A group of people that are standing around giraffes.
103499	635383	A person with a parasol is walking on a crosswalk.
443347	160007	A young lady showing off the hot dogs she just bought.
67785	717682	A boy stares at a pizza with a birthday candle in it.
187475	710665	A person holding a hot dog with lots of fixings on it.
138814	454240	A man on the tennis court is about to use his racket.
29056	629384	A sign for a state fair is under a street sign.
117093	417739	A very nice looking motorcycle parked near some bushes.
306477	429856	A street sign leaned over with the words High Gate Avenue on it.
259216	319699	The woman has many bananas and other fruit at her stand.
126272	193307	A luggage cart sitting inside of a brick building.
11742	157675	A glass of red wine sits beside the bottle for a refill as a piece of cake goes untouched in the back.
560908	415065	A hotel room scene with a double bed and a view of the patio.
233266	632959	A man in a wetsuit rides a wave in the ocean
468736	135817	A close-up of a plate of pasta and meat with a piece of broccoli.
21284	14754	A person surfing in the middle of a wave.
520956	232731	A tall building with a massive clock on it's face.
539089	394339	two pans of dinner rolls baking in a large oven
369093	684603	The pizza is on wax paper near a paper plate.
166509	709060	A traffic light sitting on the side of a road next to a tree.
60641	678448	Four boxes of pizza are opened on the table
225299	488404	A person flying through the air while riding down a snow slope.
219984	687600	A woman flying a kite in the blue sky.
505728	812812	A woman prepares to pour batter into lined muffin tins.
68646	778717	A little boy that is sitting in front of a laptop.
12179	181494	A giraffe standing on a lush green hillside.
415967	115876	The dark mirror shows a bathroom in it's reflection.
72797	706286	A man hitting a tennis ball with a racquet.
272049	188542	A large yellow dump truck sitting on green lawn.
72376	361634	A man gets ready to throw a frisbee.
568276	71469	A close up of pizzas resting on serving trays on a table.
258132	264818	a person jumping a skate board in the air
257864	446430	A white plate topped with a sandwich and other food.
412355	392	A small bird is perched on an empty bird feeder.
80596	635973	An empty handbag lying flat on a table.
