image_id	id	caption
172952	25	Well dressed man and woman pose for picture.
203564	37	A bicycle replica with a clock as the front wheel.
179765	38	A black Honda motorcycle parked in front of a garage.
242868	43	A view of train tracks and a train.
163372	44	Two zebras standing together while one zebra swishes his tail.
322141	49	A room with blue walls and a white sink and door.
138179	68	A baby in pajamas is chewing on a toy.
227049	70	A city at night with people walking around.
184938	80	Light colored teddy bear dressed in a hoodie and pants
378658	81	Two people sitting and two people walking through what looks to be an airport
330432	82	Vibrant photo of a train sitting at a train station
121692	85	Young Giraffe peeking his head into a crevice in the exhibit wall.
16977	89	A car that seems to be parked illegally behind a legally parked car
282830	90	A man in action looking at an incoming frisbee
245432	91	Multiple people waiting on a boarding dock to get on the train.
106140	98	A large passenger airplane flying through the air.
264819	113	Snowboarder riding in a half pipe performing tricks.
81860	116	A group of business people pose for a picture.
45094	120	A man drinking wine at a wine tasting.
233830	131	A plate of food on a table with a person eating nearby.
478766	157	A dinner plate set with Fish and a baked potato
487239	174	people riding horseback on a mountain during a beautiful day
288229	277	The large clock was prominently displaying the time.
133964	278	The boats navigated around the curves of the attraction.
471567	287	A giraffe stands alone outdoors at the zoo.
119088	293	The men are up to their knees in the water.
357501	303	A gold colored pair of scissors cutting into a piece of bejeweled fabric with other bejeweled items in the background.
132510	310	A person in winter gear riding a snowboard.
112022	318	Passengers waiting for their bags at a luggage carousel.
24522	320	A bus is driving down a road with cars behind it.
15542	323	A meal consisting of french fries, a hot dog and condiments.
183786	324	A tray of black and white sprinkled doughnuts
372983	326	A cat sitting outside on a bench on a sunny day.
382557	327	A group of Korean people watching a woman sign an important document.
7899	337	A baby sitting in the grass watching kites fly in the sky.
329088	338	A skier standing at the top of a ski slope.
423694	340	A man sitting on a chair on a boat dock.
571635	342	A bathroom with a toilet, sink, and shower.
303550	345	A grumpy cat sits with objects balanced on his side.
373519	346	A bird sits on a wire over a street sign.
7977	347	A young man performing tricks on a skateboard.
458168	348	A cow wades into a stream in front of a shack.
388481	353	The monitor is displaying a website for iTV.
417355	363	A man wearing ski gear models an outfit in a fashion show.
492608	386	A surfer catches a wave in the ocean.
429044	390	a person attempting to surf through a wave
